Transaction ID,Date,Gender,Age,Age Group,Product Category,Quantity,Price per Unit,Total Amount,,,,,,,,,Min_age,Max_age,Avg_age,Total Sales Revenue,Average Order value, Category,Sales
1,11/24/2023,Male,34,Middle Age,Electronics,3,50,150,,,,,,,,,18,64,41,456000,456,Electronics,156905
2,2/27/2023,Female,26,Adolescent,Clothing,2,500,1000,,,,,,,,,,,,,,Clothing,155580
3,1/13/2023,Male,50,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,Beauty,143515
4,5/21/2023,Male,37,Middle Age,Clothing,1,500,500,,,,,,,,,,,,,,,
5,05-06-2023,Male,30,Adolescent,Beauty,2,50,100,,,,,,,,,,,,,,,
6,4/25/2023,Female,45,Middle Age,Beauty,1,30,30,,,,,,,,,,,,,,,
7,3/13/2023,Male,46,Middle Age,Clothing,2,25,50,,,,,,,,,,,,,,,
8,2/22/2023,Male,30,Adolescent,Electronics,4,25,100,,,,,,,,,,,,,,,
9,12/13/2023,Male,63,Old,Electronics,2,300,600,,,,,,,,,,,,,,,
10,10-07-2023,Female,52,Middle Age,Clothing,4,50,200,,,,,,,,,,,,,,,
11,2/14/2023,Male,23,Adolescent,Clothing,2,50,100,,,,,,,,,,,,,,,
12,10/30/2023,Male,35,Middle Age,Beauty,3,25,75,,,,,,,,,,,,,,,
13,08-05-2023,Male,22,Adolescent,Electronics,3,500,1500,,,,,,,,,,,,,,,
14,1/17/2023,Male,64,Old,Clothing,4,30,120,,,,,,,,,,,,,,,
15,1/16/2023,Female,42,Middle Age,Electronics,4,500,2000,,,,,,,,,,,,,,,
16,2/17/2023,Male,19,Adolescent,Clothing,3,500,1500,,,,,,,,,,,,,,,
17,4/22/2023,Female,27,Adolescent,Clothing,4,25,100,,,,,,,,,,,,,,,
18,4/30/2023,Female,47,Middle Age,Electronics,2,25,50,,,,,,,,,,,,,,,
19,9/16/2023,Female,62,Old,Clothing,2,25,50,,,,,,,,,,,,,,,
20,11-05-2023,Male,22,Adolescent,Clothing,3,300,900,,,,,,,,,,,,,,,
21,1/14/2023,Female,50,Middle Age,Beauty,1,500,500,,,,,,,,,,,,,,,
22,10/15/2023,Male,18,Adolescent,Clothing,2,50,100,,,,,,,,,,,,,,,
23,04-12-2023,Female,35,Middle Age,Clothing,4,30,120,,,,,,,,,,,,,,,
24,11/29/2023,Female,49,Middle Age,Clothing,1,300,300,,,,,,,,,,,,,,,
25,12/26/2023,Female,64,Old,Beauty,1,50,50,,,,,,,,,,,,,,,
26,10-07-2023,Female,28,Adolescent,Electronics,2,500,1000,,,,,,,,,,,,,,,
27,08-03-2023,Female,38,Middle Age,Beauty,2,25,50,,,,,,,,,,,,,,,
28,4/23/2023,Female,43,Middle Age,Beauty,1,500,500,,,,,,,,,,,,,,,
29,8/18/2023,Female,42,Middle Age,Electronics,1,30,30,,,,,,,,,,,,,,,
30,10/29/2023,Female,39,Middle Age,Beauty,3,300,900,,,,,,,,,,,,,,,
31,5/23/2023,Male,44,Middle Age,Electronics,4,300,1200,,,,,,,,,,,,,,,
32,01-04-2023,Male,30,Adolescent,Beauty,3,30,90,,,,,,,,,,,,,,,
33,3/23/2023,Female,50,Middle Age,Electronics,2,50,100,,,,,,,,,,,,,,,
